mating_rate,variation_rate,N,performance,time
0.8,0.1,10,168702.61017284082,0.39905285835266113
0.8,0.1,15,167485.57582434613,0.594031810760498
0.8,0.1,20,166658.54565210492,0.8000459671020508
0.8,0.1,25,173479.92257151933,0.9700863361358643
0.8,0.1,30,172216.94731439877,1.1680688858032227
0.8,0.1,35,171228.95196284077,1.3470757007598877
0.8,0.1,40,175147.60698713586,1.5251507759094238
0.8,0.1,45,169183.6727512477,1.718034267425537
0.8,0.1,50,171806.2804422071,1.9041130542755127
0.8,0.1,55,170075.5456017135,2.128086805343628
0.8,0.1,60,176908.84014968364,2.2752065658569336
0.8,0.1,65,165678.6582575431,2.4690358638763428
0.8,0.1,70,157514.59416146393,2.6621813774108887
0.8,0.1,75,176484.34351489876,2.8842692375183105
0.8,0.1,80,176266.68069803424,3.047203302383423
0.8,0.1,85,176661.95631512965,3.2430572509765625
0.8,0.1,90,171686.21985227254,3.4592249393463135
0.8,0.1,95,182102.80867079468,3.7041821479797363
0.8,0.1,100,166497.39571467988,3.9662575721740723
0.8,0.1,105,172034.16720950248,4.146237373352051
0.8,0.1,110,180837.56392473791,4.2922163009643555
0.8,0.1,115,180069.1393959799,4.476253986358643
0.8,0.1,120,171535.76015097386,4.7903056144714355
0.8,0.1,125,176365.39172683647,4.910284996032715
0.8,0.1,130,171750.48668298908,5.074287176132202
0.8,0.1,135,171281.06101305594,5.278363227844238
0.8,0.1,140,171754.06095149193,5.490252256393433
0.8,0.1,145,182677.3713932523,5.932339191436768
0.8,0.1,150,180526.84674832533,5.887337684631348
0.8,0.1,155,171101.66527482326,6.0643463134765625
0.8,0.1,160,172542.06709273858,6.298361301422119
0.8,0.1,165,164944.86832642704,6.514375686645508
0.8,0.1,170,171165.61727202087,6.703380823135376
0.8,0.1,175,171326.08603126102,6.880366563796997
0.8,0.1,180,174093.44344428202,7.086432933807373
0.8,0.1,185,170566.63019931072,7.300419092178345
0.8,0.1,190,173128.71081539028,7.741051435470581
0.8,0.1,195,169038.57546780532,8.05681037902832
